companyid,company,country
1,Columbia Pictures Corporation,USA
2,Paramount Pictures,USA
3,Twentieth Century Fox Film Corporation,USA
4,Walt Disney Pictures,USA
5,Hemdale,UK
6,Henson Associates HA,UK
7,De Laurentiis Entertainment Group DEG,USA
8,SLM Production Group,USA
9,Rimfire Films,Australia
10,Thorn EMI Screen Entertainment,UK
11,Producers Sales Organization PSO,USA
12,Geffen Company  The,USA
13,New Century Entertainment Corporation,USA
14,Universal Pictures,USA
15,New Line Cinema,USA
16,Orion Pictures,USA
17,Cannon Films,USA
18,Jay Weston Productions,USA
19,TriStar Pictures,USA
20,Neue Constantin Film,Italy
21,LA Films,USA
22,Warner Bros,USA
23,Gaumont,France
24,Touchstone Pictures,USA
25,Lorimar Productions,USA
26,HBO Films,USA
27,Amblin Entertainment,USA
28,The Saul Zaentz Company,USA
29,Initial Pictures,UK
30,Empire Pictures,USA
31,Freddie Fields Productions,USA
32,MetroGoldwynMayer MGM,USA
33,Hawn / Sylbert Movie Company,USA
34,Maljack Productions,USA
35,ABC Motion Pictures,USA
36,Sunbow Productions,USA
37,TaliaFilm II Productions,USA
38,Cannon Pictures,USA
39,De Haven Productions,UK
40,Svenska Filminstitutet SFI,Sweden
41,Cinema 85,USA
42,Blueline Productions,USA
43,Seasonal Film Corporation,USA
44,GolanGlobus Productions,USA
45,Balcor Film Investors,USA
46,AM Films,USA
47,American Filmworks,USA
48,Police Academy Productions,USA
49,40 Acres  A Mule Filmworks,USA
50,Delphi V Productions,USA
51,Cannon Group,USA
52,Black Snake,USA
53,Fuji Television Network,Japan
54,Religioso Primitiva,USA
55,Gladden Entertainment,USA
56,Brooksfilms,USA
57,Kings Road Entertainment,USA
58,Lawrence Gordon Productions,USA
59,Carthago Films Sarl,France
60,Meltdown Productions,UK
61,Compañia Iberoamericana de TV,Spain
62,New World Pictures,USA
63,Cinema Group Ventures,USA
64,Paragon Arts International,UK
65,Capital Equipment Leasing,UK
66,Virgin Vision,UK
67,HandMade Films,UK
68,Delphi Films,USA
69,Cannon Screen Entertainment,UK
70,Amaretto Films,USA
71,British Film Institute BFI,UK
72,Les Films Plain Chant,France
73,Atlantic Entertainment Group,USA
74,DD Productions,Switzerland
75,Not specified,USA
76,Cinema VII,USA
77,TMS Pictures,Canada
78,Edward R Pressman Film,USA
79,Goldcrest Films International,UK
80,Little Bear,USA
81,Cannon Group  The,USA
82,Simcom Limited,Canada
83,Compact Yellowbill,UK
84,Crown International Pictures,USA
85,Rastar Pictures,USA
86,Ministère de la Culture et de la Communication,France
87,Aaron Spelling Productions,USA
88,Blake Edwards,USA
89,Chroma III Productions,USA
90,Fons Rademakers Produktie,Netherlands
91,Griffon Productions,USA
92,Heron Communications,USA
93,Scary Stuff,USA
94,Escalante Productions,USA
95,Canadian Broadcasting Corporation CBC,Canada
96,Marquis,USA
97,Rondo Productions,USA
98,Nelvana,Canada
99,Cascade Films,Australia
100,Miramax,USA
101,Island Pictures,USA
102,Rank Organisation  The,UK
103,Cinequanon,Argentina
104,Corporation Image M  M,Canada
105,Rastar Films,USA
106,Portreeve,UK
107,American Playhouse,USA
108,Carson Productions,USA
109,Alternate Current,USA
110,Cine Valse,France
111,Cameras Continentales,Denmark
112,Film Corporation of Kenya,UK
113,CineplexOdeon Films,Australia
114,Hyperion Pictures,USA
115,Produzioni Europee Associate PEA,Italy
116,MTM Enterprises,USA
117,LynnDavis Productions,USA
118,Longshot,USA
119,Silver Screen Partners II,USA
120,Roundhouse,USA
121,ConvyFimberg Productions,USA
122,JM Entertainment,UK
123,Cinetel Films,USA
124,Cannon City Produktie Maatschappij BV,Netherlands
125,Alliance Communications Corporation,USA
126,Action Communications,USA
127,Cote Blanche Productions,USA
128,Les Films 13,France
129,Fringe Dwellers Productions,Australia
130,T Films,France
131,HannaBarbera Productions,USA
132,Channel Four Films,UK
133,Grace,USA
134,Embassy Pictures,USA
135,Hunter/MFG Production,USA
136,CBS Entertainment Production,USA
137,DIC Entertainment,Canada
138,AAR Films,USA
139,Act III Communications,USA
140,Cinemarque Entertainment BV,UK
141,Natant,UK
142,Great American Films Limited Partnership,USA
143,Amercent Films,USA
144,Braveworld Productions,USA
145,Home Box Office HBO,USA
146,Eon Productions,UK
147,Apollo Pictures,USA
148,RKO Pictures,USA
149,Circle Films,USA
150,Carolco International NV,UK
151,Hughes Entertainment,USA
152,Recorded Picture Company RPC,UK
153,Merchant Ivory Productions,UK
154,Interscope Communications,USA
155,Alive Films,USA
156,F/M,USA
157,Road Movies Filmproduktion,West Germany
158,United Artists,USA
159,Fries Entertainment,USA
160,Laurel Entertainment Inc,USA
161,Columbia Pictures Industries,USA
162,Applied Action,USA
163,British Screen Productions,UK
164,Incorporated Television Company ITC,UK
165,Panorama Film A/S,Denmark
166,Lightyear Entertainment,UK
167,Emshell Producers,USA
168,Nouvelles editions de Films NEF,France
169,GuberPeters Company  The,USA
170,Fourth Protocol,UK
171,Imagine Films Entertainment,USA
172,Pelemele Film,West Germany
173,Finnegan/Pinchuk Productions,USA
174,7 Films Cinema,France
175,Conquering Unicorn,USA
176,Marimark Productions,USA
177,Filmhaus,USA
178,Trans World Entertainment TWE,USA
179,Carolco Entertainment,USA
180,Cinecom Entertainment Group,USA
181,Vista Organization,USA
182,Columbia Pictures,USA
183,Zenith Entertainment,UK
184,Clear Type,USA
185,TAFT Entertainment Pictures,USA
186,Per Holst Filmproduktion,Denmark
187,Nelson Entertainment,USA
188,Samuel Goldwyn Company  The,UK
189,ML Delphi Premier Productions,USA
190,Bagdasarian Productions,USA
191,Kindred Limited Partnership,USA
192,Lorimar Motion Pictures,USA
193,RollinsJoffe Productions,USA
194,Vestron Pictures,UK
195,Independent Film Centre,USA
196,Bandai Films,USA
197,Albacore Productions Inc,USA
198,Aurora Productions LLC,USA
199,Callender Company,UK
200,Excelsior FilmTV,Italy
201,Commies From Mars Corporation,UK
202,Silent Night Releasing Corporation,USA
203,InCine Compañia Industrial Cinematografica,USA
204,Titan Productions,USA
205,Luna Films,Spain
206,Conquest Productions,USA
207,Sands,UK
208,New World Entertainment Films,USA
209,Barry  Enright Productions,USA
210,Mrs Whites Productions,UK
211,Kennedy Miller Productions,Australia
212,DGS Productions,USA
213,Alexandre Films,France
214,Northern,USA
215,Lorimar Film Entertainment,USA
216,Cinema Group,USA
217,Aljosha,Italy
218,Millennial,USA
219,RAI Radiotelevisione Italiana,Italy
220,Centre du Cinema et de lAudiovisuel,Belgium
221,Flach Film,France
222,Laughing Kookaburra Productions,Australia
223,Les Films du Losange,France
224,Tapestry Films,USA
225,Brigade Productions,USA
226,Embark Production,USA
227,First Take,USA
228,The Swimming Company,USA
229,Compagnie Eric Rohmer CER,France
230,Eddie Murphy Productions,USA
231,Akira Committee Company Ltd,Japan
232,American Entertainment Partners II LP,USA
233,Cristaldifilm,Italy
234,Sarlui / Diamant,USA
235,Film Futures,UK
236,Cannon International,USA
237,All Girl Productions,USA
238,Trancas International Films,USA
239,Morgan Creek Productions,USA
240,Carolco Pictures,USA
241,Night Life Inc,USA
242,DDM Film Corporation,USA
243,The Mount Company,USA
244,Walt Disney Feature Animation,USA
245,NBC Productions,USA
246,Cinema City Films,USA
247,Prominent Features,UK
248,Front Films,USA
249,ZachariasBuhai Productions,USA
250,ShapiroGlickenhaus Entertainment,USA
251,Vision PDG,Ireland
252,Double Play,USA
253,Blue Rider Pictures,USA
254,Mac and Me Joint Venture,USA
255,Weintraub Entertainment Group,USA
256,Magellan Pictures,USA
257,White Lair,UK
258,New Sky Communications Inc,USA
259,Laurenfilm,Spain
260,Spacegate Productions,USA
261,Cornelius Productions,USA
262,Esparza,USA
263,Lucasfilm,USA
264,Forum Sarajevo,UK
265,Zanuck/Brown Productions,USA
266,Producers Representative Organization,UK
267,Jack Rollins  Charles H Joffe Productions,USA
268,Malpaso Company  The,USA
269,Film Four International,UK
270,Cannon Entertainment,Australia
271,Price,France
272,Jascat,USA
273,Imagine Entertainment,USA
274,National Broadcasting Company NBC,USA
275,Concorde Pictures,Canada
276,Abramoff Production,South Africa
277,Bigelow Productions,USA
278,Cadrage,UK
279,Burrowes Film Group,Australia
280,Aspen Film Society,USA
281,Helpern / Meltzer,USA
282,Miracle Pictures,USA
283,Silver Screen Partners III,USA
284,Les Films Christian Fechner,France
285,Management Company Entertainment Group MCEG,USA
286,InGear Film Production,Hong Kong
287,Movie Group  The,UK
288,Working Title Films,UK
289,ColImaSon,France
290,CB Films,France
291,New Visions,USA
292,Sheen/Greenblatt Productions,West Germany
293,Cecchi Gori Group Tiger Cinematografica,USA
294,No Frills Film Production,USA
295,MK2 Productions,France
296,Force 10 Productions I,USA
297,Caroline Productions,France
298,United British Artists UBA,UK
299,Jolly Russell Productions,UK
300,Crescent Moon,USA
301,Continental Film Group Ltd,USA
302,Heritage Entertainment Inc,USA
303,Brightstar Films,USA
304,Smart Egg Pictures,UK
305,Arenafilm,Australia
306,Vista Organisation  The,USA
307,Silver Pictures,USA
308,Gordon Company,USA
309,Castle Rock Entertainment,USA
310,Gracie Films,USA
311,Filmauro,USA
312,Buena Vista Pictures,USA
313,Mirage Enterprises,USA
314,Ixtlan,USA
315,Danjaq,UK
316,Ferndale Films,Ireland
317,Davis Entertainment,USA
318,Outlaw Productions I,USA
319,Norman Twain Productions,USA
320,Allarts,Netherlands
321,Zanuck Company  The,USA
322,David Foster Productions,USA
323,Magnum Pictures Inc,USA
324,Renaissance Films,UK
325,Lightning Pictures,USA
326,Crescent Film Enterprises,USA
327,Renn Productions,France
328,Avenue Pictures,USA
329,Deseo  El,Spain
330,TMS Entertainment,Japan
331,White Eagle,USA
332,High Bar Productions,USA
333,First Millenium Partnership,USA
334,Cinecorp SAC,USA
335,Palace Pictures,UK
336,JVC Entertainment Networks,USA
337,21st Century Film Corporation,USA
338,Malpaso Productions,USA
339,Beco Films,USA
340,Sean S Cunningham Films,USA
341,Allied Filmmakers,USA
342,Davros Films,USA
343,Allied Vision,USA
344,KB Erik the Viking,UK
345,Entcorp Communications,Canada
346,Elrina Investment,South Africa
347,Larco Productions,USA
348,Gary Sherman Productions,USA
349,London Weekend Television LWT,UK
350,Action Features,USA
351,Hill/Rosenman,USA
352,Breton Film Productions,USA
353,Troma Entertainment,USA
354,Bandai Media Department,Japan
355,Max Films Productions,Canada
356,Cine Location Services,USA
357,AM/PM Entertainment,USA
358,Charlie Mopic,USA
359,North Street Films,USA
360,Paulist Pictures,USA
361,Initial Film and Television,UK
362,Budapest Studio Vallalat,Hungary
363,Kouf/Bigelow Productions,USA
364,FM Entertainment,USA
365,Nova International Films,USA
366,Cinea,France
367,Aaron Russo Productions,USA
368,Corsair Pictures,USA
369,American Playhouse Theatrical Films,USA
370,Varney Productions,USA
371,Koch Company,USA
372,Braunstein and Hamady Productions,USA
373,Gibraltar Entertainment,USA
374,Premiere Pictures Corporation,USA
375,Curzon Films,UK
376,Cage Productions,USA
377,New Horizons Picture,USA
378,Epic Productions,USA
379,Hachette Première,France
380,Bayerischer Rundfunk BR,USA
381,Erre Produzioni,UK
382,Stock Films International,Canada
383,Eagle Film,USA
384,Gathsemane 84,USA
385,Alberta Motion Picture Development Corporation,Canada
386,Les Productions Videofilms Ltee,Canada
387,Clear Productions,USA
388,Skouras Pictures,USA
389,Bioskop Film,USA
390,Tig Productions,USA
391,PolyGram Filmed Entertainment,USA
392,888 Productions,USA
393,Hollywood Pictures,USA
394,Don Simpson/Jerry Bruckheimer Films,USA
395,Nicolas Entertainment,USA
396,Renaissance Pictures,USA
397,Cinehaus,UK
398,Imperial Entertainment Corporation,USA
399,Fugitive TV Productions,UK
400,Reteitalia,Italy
401,Silver Screen Partners IV,USA
402,Hudlin Brothers  The,USA
403,Canal+,USA
404,Victor  Grais,USA
405,Brandenberg,UK
406,Pathe Entertainment,Australia
407,Ironbark Films,USA
408,Disney Television Animation,France
409,Enigma Productions,UK
410,Tristes Tropiques,USA
411,Dino De Laurentiis Company,USA
412,Devoted Productions,USA
413,88 Productions,USA
414,Camera One,France
415,Sovereign Pictures,USA
416,Chestnut Hill Productions,USA
417,LevinsHenenlotter,USA
418,Granada Television,Ireland
419,Laurence Mark Productions,USA
420,InGear Film,Hong Kong
421,British Broadcasting Corporation BBC,UK
422,Kanoon,Iran
423,Lambart Productions,France
424,60/80 Productions,USA
425,ADC Films,Italy
426,Westerly Films,USA
427,Filmation Associates,USA
428,Regency International Pictures,USA
429,Hibiscus Films,New Zealand
430,Belbo Films,France
431,CineSource,USA
432,Paisley Park Films,USA
433,Aurora,USA
434,Central Cinema Company Film CCC,Germany
435,Boy of the Year,USA
436,Dave Bell Associates,USA
437,Brigand Films,USA
438,Duffy Films,USA
439,Cinemarque Entertainment,USA
440,Unity Pictures,Australia
441,Bandai Visual Company,Japan
